Platform,Job Title,Job URL,Budget/Rate,Posting Date,Client Location,Job Description
Guru,Find Jobs,https://www.guru.com/d/jobs/,Approx. pay: $2,N/A,N/A,N/A
Guru,Developer Community Engagement Expert,https://www.guru.com/jobs/developer-community-engagement-expert/2106000&SearchUrl=search.aspx?,Approx. pay: $2,"Posted: October 25, 2024",N/A,N/A
Guru,Programming & Development,https://www.guru.com/d/jobs/c/programming-development,Approx. pay: $2,N/A,N/A,N/A
Guru,Web Development & Design,https://www.guru.com/d/jobs/c/programming-development/sc/web-development-design/,Approx. pay: $2,N/A,N/A,N/A
Guru,API Development,https://www.guru.com/d/jobs/c/programming-development/skill/api-development/,Approx. pay: $2,N/A,N/A,N/A
Guru,Software Development,https://www.guru.com/d/jobs/c/programming-development/skill/software-development/,Approx. pay: $2,N/A,N/A,N/A
Guru,Information Technology,https://www.guru.com/d/jobs/c/programming-development/skill/information-technology/,Approx. pay: $2,N/A,N/A,N/A
Guru,Back End Development,https://www.guru.com/d/jobs/c/programming-development/skill/back-end-development/,Approx. pay: $2,N/A,N/A,N/A
Guru,Front End Development,https://www.guru.com/d/jobs/c/programming-development/skill/front-end-development/,Approx. pay: $2,N/A,N/A,N/A
Guru,API Integrations,https://www.guru.com/d/jobs/c/programming-development/skill/api-integrations/,Approx. pay: $2,N/A,N/A,N/A
Guru,Deepa S,https://www.guru.com/d/jobs/c/programming-development/#,Approx. pay: $2,N/A,N/A,N/A
Guru,"WhatsApp Bot Expert – Meta API, Dashboar",https://www.guru.com/jobs/whatsapp-bot-expert-meta-api-dashboar/2105989&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: April 18, 2025",N/A,N/A
Guru,Programming & Software,https://www.guru.com/d/jobs/c/programming-development/sc/programming-software/,Approx. pay: $250,N/A,N/A,N/A
Guru,JavaScript,https://www.guru.com/d/jobs/c/programming-development/skill/javascript/,Approx. pay: $250,N/A,N/A,N/A
Guru,SQL,https://www.guru.com/d/jobs/c/programming-development/skill/sql/,Approx. pay: $250,N/A,N/A,N/A
Guru,API,https://www.guru.com/d/jobs/c/programming-development/skill/api/,Approx. pay: $2,N/A,N/A,N/A
Guru,Payment Gateway Integration,https://www.guru.com/d/jobs/c/programming-development/skill/payment-gateway-integration/,Approx. pay: $250,N/A,N/A,N/A
Guru,Shopping Carts,https://www.guru.com/d/jobs/c/programming-development/skill/shopping-carts/,Approx. pay: $250,N/A,N/A,N/A
Guru,Artificial Intelligence,https://www.guru.com/d/jobs/c/programming-development/skill/artificial-intelligence/,Approx. pay: $2,N/A,N/A,N/A
Guru,Chatbots,https://www.guru.com/d/jobs/c/programming-development/skill/chatbots/,Approx. pay: $250,N/A,N/A,N/A
Guru,Butchery Shop Management App (MVP),https://www.guru.com/jobs/butchery-shop-management-app-mvp/2105981&SearchUrl=search.aspx?,Approx. pay: $500,"Posted: May 07, 2025",N/A,N/A
Guru,Testing Festinger Vault Plugin Dashboard,https://www.guru.com/jobs/testing-festinger-vault-plugin-dashboard/2105973&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: May 16, 2025",N/A,N/A
Guru,WordPress,https://www.guru.com/d/jobs/c/programming-development/skill/wordpress/,Approx. pay: $250,N/A,N/A,N/A
Guru,Software Testing,https://www.guru.com/d/jobs/c/programming-development/skill/software-testing/,Approx. pay: $250,N/A,N/A,N/A
Guru,Web Design,https://www.guru.com/d/jobs/c/programming-development/skill/web-design/,Approx. pay: $250,N/A,N/A,N/A
Guru,Plugin Development,https://www.guru.com/d/jobs/c/programming-development/skill/plugin-development/,Programming & Development Web Development & DesignWordPressGraphic DesignUser Experience DesignWeb DesignWeb DevelopmentWordPress DevelopmentTheme DesignContent Management SystemsMockupsWeb Banner DesignWordPress DesignBack End DevelopmentFront End Development,N/A,N/A,N/A
Guru,Integrate WP Easy Submission Plugin,https://www.guru.com/jobs/integrate-wp-easy-submission-plugin/2105970&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: May 07, 2025",N/A,N/A
Guru,Amplitude Expert for Technical Audit,https://www.guru.com/jobs/amplitude-expert-for-technical-audit/2105968&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: February 20, 2025",N/A,N/A
Guru,Google Tag Manager,https://www.guru.com/d/jobs/c/programming-development/skill/google-tag-manager/,Approx. pay: $250,N/A,N/A,N/A
Guru,Amplitude,https://www.guru.com/d/jobs/c/programming-development/skill/amplitude/,Approx. pay: $250,N/A,N/A,N/A
Guru,Metatrader 5 MQL5 programmer needed,https://www.guru.com/jobs/metatrader-5-mql5-programmer-needed/2105958&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: May 15, 2025",N/A,N/A
Guru,Programming,https://www.guru.com/d/jobs/c/programming-development/skill/programming/,Approx. pay: $2,N/A,N/A,N/A
Guru,General / Other Programming & Software,https://www.guru.com/d/jobs/c/programming-development/skill/general-other-programming-software/,Approx. pay: $250,N/A,N/A,N/A
Guru,GYMSTARPRO WEiGHT LIFTiNG CALCULATOR,https://www.guru.com/jobs/gymstarpro-weight-lifting-calculator/2105946&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: April 21, 2025",N/A,N/A
Guru,Android Development,https://www.guru.com/d/jobs/c/programming-development/skill/android-development/,Approx. pay: $500,N/A,N/A,N/A
Guru,App Development,https://www.guru.com/d/jobs/c/programming-development/skill/app-development/,Programming & Development Apps & MobileiPhoneMicrosoft WindowsApp & Mobile Programming,N/A,N/A,N/A
Guru,All-in-One Social Media Dashboard,https://www.guru.com/jobs/all-in-one-social-media-dashboard/2105945&SearchUrl=search.aspx?,Approx. pay: $1,"Posted: September 12, 2023",N/A,N/A
Guru,Dashboard Design,https://www.guru.com/d/jobs/c/programming-development/skill/dashboard-design/,Approx. pay: $250,N/A,N/A,N/A
Guru,SQL data extraction to CSV,https://www.guru.com/jobs/sql-data-extraction-to-csv/2105941&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: May 11, 2025",N/A,N/A
Guru,Data Extraction,https://www.guru.com/d/jobs/c/programming-development/skill/data-extraction/,Not specified,N/A,N/A,N/A
Guru,Dog Training Wordpress Website sucks,https://www.guru.com/jobs/dog-training-wordpress-website-sucks/2105931&SearchUrl=search.aspx?,Approx. pay: $250,"Posted: April 30, 2025",N/A,N/A
Guru,PHP,https://www.guru.com/d/jobs/c/programming-development/skill/php/,Approx. pay: $20,N/A,N/A,N/A
Guru,Google Maps Marketing,https://www.guru.com/d/jobs/c/programming-development/skill/google-maps-marketing/,Approx. pay: $10,N/A,N/A,N/A
Guru,Search Engine Optimization,https://www.guru.com/d/jobs/c/programming-development/skill/search-engine-optimization/,Approx. pay: $250,N/A,N/A,N/A
Guru,Web Development,https://www.guru.com/d/jobs/c/programming-development/skill/web-development/,Approx. pay: $2,N/A,N/A,N/A
Guru,WordPress Development,https://www.guru.com/d/jobs/c/programming-development/skill/wordpress-development/,Programming & Development Web Development & DesignWordPressGraphic DesignUser Experience DesignWeb DesignWeb DevelopmentWordPress DevelopmentTheme DesignContent Management SystemsMockupsWeb Banner DesignWordPress DesignBack End DevelopmentFront End Development,N/A,N/A,N/A
Guru,Content Management Systems,https://www.guru.com/d/jobs/c/programming-development/skill/content-management-systems/,Approx. pay: $250,N/A,N/A,N/A
Guru,Mockups,https://www.guru.com/d/jobs/c/programming-development/skill/mockups/,Programming & Development Web Development & DesignWordPressGraphic DesignUser Experience DesignWeb DesignWeb DevelopmentWordPress DevelopmentTheme DesignContent Management SystemsMockupsWeb Banner DesignWordPress DesignBack End DevelopmentFront End Development,N/A,N/A,N/A
